=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2026-1-25_20-35-12
====================================================================================
20:35:12 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
20:35:12 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
20:35:12 | [PermissionManager] Perm (FreeCamera) has been registered!
20:35:12 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
20:35:12 | [PermissionManager] Perm (MenuItemManager) has been registered!
20:35:12 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
20:35:12 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
20:35:12 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
20:35:12 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
20:35:12 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
20:35:12 | [PermissionManager] Perm (MenuServerManager) has been registered!
20:35:12 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
20:35:12 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
20:35:12 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
20:35:12 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
20:35:12 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
20:35:12 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
20:35:12 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
20:35:12 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
20:35:12 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
20:35:12 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
20:35:12 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
20:35:12 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
20:35:12 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
20:35:12 | [PermissionManager] Perm (MenuObjectManager) has been registered!
20:35:12 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
20:35:12 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
20:35:12 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
20:35:12 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
20:35:12 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
20:35:12 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
20:35:12 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
20:35:12 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
20:35:12 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
20:35:12 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
